e005,Mark,Edmondson,AUS,1954.06.28,1954,6,28,,86,190,185,73,"Gosford, NSW, Australia"
k966,Martin,Klizan,SVK,1989.07.11,1989,7,11,2007,85,187,191,75,"Bratislava, Slovakia"
g858,Ernests,Gulbis,LAT,1988.08.30,1988,8,30,2004,85,187,191,75,"Riga, Latvia"
s017,Bill,Scanlon,USA,1956.11.13,1956,11,13,,77,170,185,73,"Dallas, TX"
h377,Dominik,Hrbaty,SVK,1978.01.04,1978,1,4,1996,80,176,180,71,"Bratislava, Slovakia"
w972,Tony,Wilding,NZL,1883.10.31,1883,10,31,,,,,,Christchurch
d082,Cliff,Drysdale,RSA,1941.05.26,1941,5,26,,76,168,188,74,"Nelspruit, South Africa"
g050,Heinz,Gunthardt,SUI,1959.02.08,1959,2,8,,70,155,180,71,"Zurich, Switzerland"
w019,Tim,Wilkison,USA,1959.11.23,1959,11,23,,73,160,180,71,"Shelby, NC"
dg02,Laurence,Doherty,GBR,1875.10.08,1875,10,8,,,,,,Wimbledon
m824,Albert,Montanes,ESP,1980.11.26,1980,11,26,1999,70,155,175,69,Sant Carles de la Rapita
ci73,Jack,Crawford,AUS,1908.03.22,1908,3,22,,,,,,
f028,John,Fitzgerald,AUS,1960.12.28,1960,12,28,1980,77,170,183,72,"Cummins, Australia"
b059,Jeff,Borowiak,USA,1949.09.25,1949,9,25,,82,180,193,76,"Berkeley, CA, U.S.A."
t032,Thierry,Tulasne,FRA,1963.07.12,1963,7,12,,73,160,178,70,"Aix-en-Bains, France"
m762,Jurgen,Melzer,AUT,1981.05.22,1981,5,22,1999,80,176,183,72,"Vienna, Austria"
bg23,Nikoloz,Basilashvili,GEO,1992.02.23,1992,2,23,2008,79,174,185,73,"Tbilisi, Georgia"
s245,Manuel,Santana,ESP,1938.05.10,1938,5,10,,,,,,
s129,Fred,Stolle,AUS,1938.10.08,1938,10,8,1966,93,205,191,75,"Hornsby NSW, Australia"
g079,Clark,Graebner,USA,1943.11.04,1943,11,4,,80,177,188,74,"Cleveland, OH"
