1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,29,John Hartley,hg35,john-hartley,C. Cole,cm47,c-cole,,,60 60 63,3,0,18,3,0,0,1879-540-hg35-cm47,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,30,C. Heathcote,hg42,c-heathcote,C. Coventry,cm53,c-coventry,,,62 46 63 56 65,3,2,27,22,0,0,1879-540-hg42-cm53,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,31,T. Hoare,hg47,t-hoare,W. Adams,af56,w-adams,,,65 61 65,3,0,18,11,0,0,1879-540-hg47-af56,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,32,C. Leslie Stephen,lh22,c-leslie-stephen,Herbert Taylor,tf94,herbert-taylor,,,(W/O),0,0,0,0,0,0,1879-540-lh22-tf94,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,33,E. Lubbock,lh21,e-lubbock,Herbert Lawford,lg94,herbert-lawford,,,62 46 61 62,3,1,22,11,0,0,1879-540-lh21-lg94,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,34,William Marshall,mu62,william-marshall,A. Cochran,cm48,a-cochran,,,61 62 62,3,0,18,5,0,0,1879-540-mu62-cm48,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,35,W.E. Martin,mu64,we-martin,L. Winslow,wa55,l-winslow,,,60 61 62,3,0,18,3,0,0,1879-540-mu64-wa55,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,36,H. Medlicott,mu57,h-medlicott,E. Hill,hg48,e-hill,,,61 60 46 61,3,1,22,8,0,0,1879-540-mu57-hg48,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,37,A. Mulholland,mu65,a-mulholland,A. Tabor,tf89,a-tabor,,,56 62 63 60,3,1,23,11,0,0,1879-540-mu65-tf89,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,38,A.T. Myers,mu63,at-myers,W. Wells Cole,wa65,w-wells-cole,,,62 36 65 65,3,1,21,18,0,0,1879-540-mu63-wa65,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,39,C. Parr,pl20,c-parr,G. Montgomerie,mu17,g-montgomerie,,,63 36 64 36 63,3,2,24,22,0,0,1879-540-pl20-mu17,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,40,S. Pilkington,pl21,s-pilkington,E. Brackenbury,bt06,e-brackenbury,,,60 65 64,3,0,18,9,0,0,1879-540-pl21-bt06,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,41,Vere St. Leger Goold,sx11,vere-st-leger-goold,F. Durant,dg27,f-durant,,,61 62 63,3,0,18,6,0,0,1879-540-sx11-dg27,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,42,G. Tabor,tf91,g-tabor,William Renshaw,rg71,william-renshaw,,,(W/O),0,0,0,0,0,0,1879-540-tf91-rg71,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Finals,1,1,John Hartley,hg35,john-hartley,Herbert Lawford,lg94,herbert-lawford,,,63 62 26 63,3,1,20,14,0,0,1880-540-hg35-lg94,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Semi-Finals,2,1,Herbert Lawford,lg94,herbert-lawford,O. Woodhouse,wa61,o-woodhouse,,,75 64 60,3,0,19,9,0,0,1880-540-lg94-wa61,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Quarter-Finals,3,1,Herbert Lawford,lg94,herbert-lawford,G. Butterworth,bs92,g-butterworth,,,62 63 63,3,0,18,8,0,0,1880-540-lg94-bs92,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Quarter-Finals,3,2,O. Woodhouse,wa61,o-woodhouse,G. Montgomerie,mu17,g-montgomerie,,,64 26 63 56 61,3,2,25,20,0,0,1880-540-wa61-mu17,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,1,G. Butterworth,bs92,g-butterworth,R. Farrer,fb91,r-farrer,,,16 61 64 65,3,1,19,16,0,0,1880-540-bs92-fb91,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,2,Herbert Lawford,lg94,herbert-lawford,W. De Esterre,dg28,w-de-esterre,,,60 63 61,3,0,18,4,0,0,1880-540-lg94-dg28,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,3,G. Montgomerie,mu17,g-montgomerie,H. Jenkins,j702,h-jenkins,,,63 56 62 26 63,3,2,25,20,0,0,1880-540-mu17-j702,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,4,O. Woodhouse,wa61,o-woodhouse,Ernest Renshaw,rg47,ernest-renshaw,,,63 63 36 60,3,1,21,12,0,0,1880-540-wa61-rg47,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,5,W. De Esterre,dg28,w-de-esterre,F. Durant,dg27,f-durant,,,63 62 56 56 61,3,2,28,18,0,0,1880-540-dg28-dg27,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,6,R. Farrer,fb91,r-farrer,C. Heathcote,hg42,c-heathcote,,,56 61 60 63,3,1,23,10,0,0,1880-540-fb91-hg42,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,7,H. Jenkins,j702,h-jenkins,G. Murray Hill,mu54,g-murray-hill,,,64 64 62,3,0,18,10,0,0,1880-540-j702-mu54,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,8,Herbert Lawford,lg94,herbert-lawford,Richard Richardson,rg78,richard-richardson,,,16 63 06 65 64,3,2,19,24,0,0,1880-540-lg94-rg78,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,9,G. Montgomerie,mu17,g-montgomerie,C. Cole,cm47,c-cole,,,60 61 61,3,0,18,2,0,0,1880-540-mu17-cm47,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,10,Ernest Renshaw,rg47,ernest-renshaw,H. Medlicott,mu57,h-medlicott,,,63 63 63,3,0,18,9,0,0,1880-540-rg47-mu57,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,11,O. Woodhouse,wa61,o-woodhouse,William Renshaw,rg71,william-renshaw,,,56 63 63 64,3,1,23,16,0,0,1880-540-wa61-rg71,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,12,G. Butterworth,bs92,g-butterworth,J. Devans,dg29,j-devans,,,46 64 63 63,3,1,22,16,0,0,1880-540-bs92-dg29,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,13,C. Cole,cm47,c-cole,H. Mulholland,mu55,h-mulholland,,,(W/O),0,0,0,0,0,0,1880-540-cm47-mu55,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,14,W. De Esterre,dg28,w-de-esterre,M. McNamara,mu15,m-mcnamara,,,62 61 26 64,3,1,20,13,0,0,1880-540-dg28-mu15,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,15,F. Durant,dg27,f-durant,F. Crowder,cm49,f-crowder,,,64 65 62,3,0,18,11,0,0,1880-540-dg27-cm49,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,16,R. Farrer,fb91,r-farrer,W. Hansell,hg41,w-hansell,,,61 46 46 60 64,3,2,26,17,0,0,1880-540-fb91-hg41,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,17,C. Heathcote,hg42,c-heathcote,C. Wallis,wa62,c-wallis,,,64 26 60 65,3,1,20,15,0,0,1880-540-hg42-wa62,
1880-540,1,wimbledon,/en/scores/archive/wimbledon/540/1880/results,Round Robin,4,18,H. Jenkins,j702,h-jenkins,A. Tabor,tf89,a-tabor,,,36 63 62 62,3,1,21,13,0,0,1880-540-j702-tf89,
